gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
0610009B22Rik,13.61,9.26,9.41,22.65,21.37,6.45,4.35,8.48,6.33,1.05,0
0610010K14Rik,42.04,34.32,17.07,28.74,67.31,30.6,66.61,47.14,65.6,57.78,54.05
0610012G03Rik,5.76,6.72,7.13,11.56,4.1,6.68,15.26,8.96,7.17,18.55,14.57
0610030E20Rik,24.75,16.78,21.99,25.39,21.97,19.8,21.25,19.15,12.26,19.39,16.29
1110004F10Rik,57.84,154.67,165,106.23,91.94,58.29,91.51,70.96,54.19,57.4,85.76
1110008P14Rik,66.84,51.97,53.17,108.71,63.11,46.99,88.89,73.38,92.32,83.39,84.14
1110012L19Rik,13.73,13.43,12.95,13.53,11.75,5.4,9.19,16.13,7.21,16.38,10.76
1110038F14Rik,22.21,23.96,22.67,28.8,21.08,28.2,17.31,27.15,24.24,29.16,30.1
1110051M20Rik,3.97,3.52,2.16,2.9,28.86,12.33,9.35,5.32,14.62,6.36,20.02
1110059E24Rik,9.2,4.05,10.42,9.7,9.06,1.09,5.06,4.58,2.19,6.91,8.09
1110059G10Rik,27.5,22.53,17.48,16.08,9.48,8.76,8.21,20.79,11.75,12.34,17.95
1500011B03Rik,16.99,6.14,22.18,13.72,11.78,16.42,14.02,22.55,19.69,20.43,15.89
1600012H06Rik,29.01,31.28,39.56,25.68,36.35,35.68,31.17,27.14,18.7,23.37,24.55
1600014C10Rik,77.71,37.94,71.79,66.17,97.46,44.79,38.58,77.03,36.64,65.36,69.52
1700017B05Rik,51.52,56.95,69.37,44.86,34.16,144.85,86.27,108.65,62.4,82.25,84.17
1700037H04Rik,11.71,10.07,6.38,6.24,13.89,7.89,0,1.93,9.85,13.63,15.09
1700123O20Rik,35.78,40.5,40.77,45.39,47.92,27,34.03,38.28,21.69,26.22,17.59
1810009A15Rik,51.96,92.14,43.83,49.77,55.47,31.3,45.5,59.3,52.45,71.83,72.71
1810013L24Rik,41.83,37.59,44.84,50.8,31.56,40.54,45.07,32.94,45.72,54.11,41.53
1810030O07Rik,14.11,30.54,28.29,13.36,32.52,6.61,8.26,14.91,16.15,16.44,19.73
1810037I17Rik,191.75,248.6,228.76,247.76,175.92,222.17,239.18,212.2,279.31,174.75,224.66
1810055G02Rik,12.06,2.64,13.41,2.18,6.49,0,0.84,7.15,0,1.62,5.25
1810058I24Rik,54.31,53.36,47.49,64.6,65.57,42.76,55.57,58,84.22,90.54,76.06
2010315B03Rik,13.81,17.45,6.09,13.06,18.13,2.24,9.51,5.85,12.15,18.47,11.68
2210016F16Rik,11.31,16.75,16.52,15.6,15.05,11.53,10.51,11.68,15.44,20.92,18.52
2210016L21Rik,4.03,5.88,11.77,2.33,5.79,8.38,5.17,5.69,2.5,8.07,3.04
2300009A05Rik,15.88,19.61,3.57,13.19,6.27,17.44,9.9,31,13.81,10.8,32
2310009B15Rik,28.01,39.23,12.33,40.44,51.3,55.77,66,53.36,111.66,73.28,50.28
2310011J03Rik,50.65,92.07,68.67,60.07,69.3,96.15,69.47,77.12,71.89,59.84,69.45
2310022A10Rik,7.02,2.64,23.27,2.79,8.86,8.37,5.29,0.76,1.71,3.06,9.35
2310033P09Rik,26.14,7.81,18.19,20.38,22.59,31.49,13.48,19.68,18.31,17.66,20.48
2310057M21Rik,5.41,6.06,5.57,14.9,4.63,5,1.42,7.05,6.84,4.2,4.85
2410002F23Rik,69.49,84.59,76.54,56.45,55.56,50.3,39.45,57.82,20.94,30.07,63.21
2410004B18Rik,70.64,78.4,39.95,46.56,37.37,72.39,63.14,70.12,83.41,59.98,27.5
2410131K14Rik,6.36,3.53,3.59,2.22,4.1,5.58,2.34,2.99,3.48,2.05,2.48
2510002D24Rik,56.56,42.52,42.48,35.82,53.82,51.15,24.41,21.17,15.63,24.64,25.93
2510009E07Rik,27.18,22.54,21.99,31.14,19.56,23.64,13.3,19.11,8.18,6.22,19.01
2510039O18Rik,10.5,15.55,13.06,13.39,6.32,15.61,13.28,9.32,17.64,16.45,13.61
2610001J05Rik,40.99,94.84,53.06,95.73,80.23,108.83,82.43,90.34,122.52,55.16,63.15
2610002M06Rik,2.7,3.49,6.52,2.83,4.35,2.35,2.77,3.1,3.28,2.68,2.03
2610008E11Rik,4,3.95,1.6,6.3,7.54,2.15,3.16,1.81,0,2.92,0.91
2610044O15Rik8,5.87,6.95,6.04,14.68,9.24,23.83,14.06,81.7,5.39,30.93,10.58
2610507B11Rik,5.39,8.76,4.28,9.38,3.32,2.09,10.38,7.44,3.39,6.29,6.58
2700049A03Rik,2.85,1.62,1.47,2.48,3.15,2.56,1.58,0.71,2.36,1.41,2.06
2700097O09Rik,9.92,14.87,19.55,19.8,8.72,14.56,12.28,17.66,12.04,7.64,5.98
2810004N23Rik,4.71,7.65,10.85,7.05,4.34,6.06,4.31,6.31,6.79,5.19,5.63
3110001I22Rik,20.18,36.99,39.93,35.58,35.42,10.59,24.54,34.42,31.38,15.95,34.23
3110040N11Rik,13,26.2,22.66,13.88,18.21,3.65,12.14,11.85,31.59,35.19,9.12
3110082I17Rik,36.42,83.72,96.19,61.52,97.27,50.57,51.24,39.28,47.45,72.85,57.26
3830406C13Rik,19.32,9.86,13.96,15.34,16.61,9.1,16.26,15.33,23.48,16.59,28.4
4833420G17Rik,33.54,24.51,26.61,41.88,36.57,18.87,21.26,31.77,19.55,37.43,40.24
4833439L19Rik,40.24,31.71,17.57,33.73,39.78,21.93,31.73,23.98,12.26,10.43,19.22
4921524J17Rik,16.69,26.66,41.9,19.83,16.89,15.24,7.02,20.58,20.75,19.06,17.3
4930402H24Rik,8.25,5.87,4.83,4.36,11.21,9.58,3.77,5.4,1.5,2.8,5.44
4930453N24Rik,15.85,16.51,33.99,26.4,28.92,13.27,10.97,15.56,10.57,15,9.03
4930503L19Rik,4.46,3.51,9.71,6.78,3.21,3.43,1.12,3.02,2.62,3.99,2.1
4930522L14Rik,5.53,5.81,7.37,8.39,7.43,4.67,1.84,3.87,0.97,1.29,2.52
4930523C07Rik,56.44,27.02,37.2,22.67,50.95,27.09,19.07,42.5,38.25,54.25,38.6
4931406P16Rik,9.62,4.1,10.58,6.28,5.07,9.19,10.15,8.21,2.25,7.04,14.78
4932438A13Rik,70.43,106.25,47.87,49.86,67.2,56.29,47.63,63.82,26.94,60.98,50.35
4932438H23Rik,5.35,8.3,7.35,9.28,5.63,5.72,3.5,4.78,2.77,7,1.28
4933434E20Rik,264.17,347.27,478.58,342.08,268.95,346.56,315.48,325.53,213.9,220,284.53
5031439G07Rik,7.54,3.3,7.77,3.17,6.53,6.38,7.07,7.9,5.42,5.04,3.59
5430427O19Rik,4.67,1.54,5.55,4.15,1.03,3.2,0.99,8.94,0.48,3.02,2.36
6030458C11Rik,5.45,3.66,5.2,8.17,5.98,3.43,1.7,1.67,1.3,9.22,4.13
6430548M08Rik,19.73,6.09,15.03,8.41,15.87,12.56,7.51,9.85,7.27,13.86,12.73
8030462N17Rik,17.14,19.92,19.35,18.64,24.02,15.76,16.66,24.2,20.39,20.87,23.23
9030025P20Rik,5.53,8.54,19.18,13.8,6.72,13.12,6.87,3.26,6.79,6.05,7.63
9130401M01Rik,17.11,11.37,18.27,16,10.53,14.68,2.16,17.43,3.94,2.61,6.79
9430038I01Rik,16.81,19.32,6.56,9.46,7.78,18.77,21.22,4.42,13.37,13.97,9.76
9530068E07Rik,73.52,76.1,74.52,57.85,64.86,59.14,76.04,79.99,66.79,73.52,68.61
9530077C05Rik,5.47,17.27,16.87,25.27,19.82,8.36,4.18,15.76,6.32,7.37,12.47
9830107B12Rik,208.87,240.51,156.08,275.34,242.12,163.94,144.3,131.6,165.77,162.03,173.3
9930021J03Rik,3,1.75,0.84,3.28,2.14,2.2,2.46,1.69,0.66,2.5,3.38
9930104L06Rik,10.58,9.85,6.5,11.95,10.72,12.46,1.87,9.63,2.51,9.18,10.46
9930111J21Rik1,8.43,2.95,11.22,3.12,7.01,1.98,1.54,10.16,2.83,2.91,4.73
9930111J21Rik2,16.62,10.19,18.71,8.45,19.37,5.12,3.94,13.95,2.95,9.53,8.96
A130010J15Rik,5.99,3.12,2.99,1.99,5.87,0.27,1.67,0.36,1.42,0.3,5.49
A430005L14Rik,37.31,32.66,44.77,33.52,23.39,47.72,24.63,38.5,27.67,30.16,30.87
A530064D06Rik,115.85,160.88,104.54,155.94,112.55,89.34,62.98,73.68,83.7,75.2,105.62
A630001G21Rik,20.44,18.73,14.12,19.2,28.16,18.26,24.13,29.76,13.31,12.09,25.36
Aaas,18.38,21.13,29.6,21.41,21.57,14.09,10.47,43.37,13.49,12.62,24.97
Aacs,30.21,45.82,50.92,39.26,40.41,32.15,16.78,26.96,21.06,47.61,16.82
Aagab,30.56,15.96,35.08,30.33,29.8,13.69,15.12,24.98,14.73,14.95,21.54
Aak1,5.46,4.01,1.85,1.09,4.03,2.43,3.04,6.12,1.84,2.38,3.39
Aamdc,12.06,28.07,22.03,31.8,34.62,15.64,11.76,23.94,13.12,27.6,11.37
Aamp,179.99,169.48,158.47,187.92,149.81,198.27,235.68,157.2,184.72,127.23,155.06
Aar2,9.46,9.11,12.43,12.2,14.7,3.7,12.41,12.07,10.37,16.33,7.44
Aars,14.83,21.65,8.36,3.6,11.59,13.7,14.34,9.1,2.64,1.11,4.03
Aarsd1,7.37,20.43,16.01,15.87,5.8,23.99,18.74,8.34,17.22,8.51,3.74
Aasdhppt,16.77,14.38,13.28,4.46,7.75,8.43,12.92,4.51,7.56,5.67,10.81
Aatf,19.81,11.37,16.21,21.58,25.85,19.59,16.4,20.78,13.7,29.45,20.43
AB124611,12.71,7.03,14.57,10.67,9.89,75.55,83.6,74.2,75.27,56.84,160.66
Abca1,4.6,1.78,1.54,1.94,3.22,1.79,2.97,0.95,1.37,1.12,3.03
Abca2,4.12,2.75,0.5,2.3,2.21,0.19,1.31,1.45,4.82,3.61,1.89
Abca3,5.32,4.19,6.31,3.96,7.01,3.09,1.29,7.77,1.51,5.43,1.07
Abca7,11.72,11.08,10.74,14.24,15.86,12.29,9.39,10.63,14.04,14.43,16.9
Abcb10,2.22,3.54,4.11,4.19,6.66,3,3.4,6.35,2.16,3.15,3.69
Abcb1a,3.46,2.01,3.19,1.23,1.89,2.81,1.18,1.51,0,0.68,0.42
Abcb7,8.21,2.64,4.19,3.41,3.98,3.59,5.61,6.18,2.85,6.55,6
Abcc1,13.57,23.96,9.01,11.05,14.8,16.9,31.09,16.07,22.6,12,19.51
Abcc2,6.22,16.38,6.64,9.07,14.83,3.62,1.54,5.28,5.26,3.37,3.36
Abcc4,3.4,4.76,3.85,2.28,4.16,8.57,8.21,2.52,2.79,3.2,2.38
Abcc5,13.6,17.09,16.8,13.62,26.07,11.78,14.57,22.21,15.74,34.97,14.56
Abcd1,17.12,15.52,20.59,11.35,22.2,16.38,5.57,17.71,8.01,24.41,12.59
Abcd2,33.45,15.62,30.47,16.21,25.28,32.54,12.85,19.21,6.4,13.54,19.72
Abcd3,12.25,3.42,5.33,5.87,10.58,4.24,1.79,2.92,2.07,3.26,7.27
Abce1,15.05,31.67,21.67,13.16,18.04,27.6,25.55,24.34,11.67,16.79,23.67
Abcf1,34.76,30.87,42.38,30.39,44.49,32.19,48.78,32.49,36.04,32.99,30.7
Abcf2,16.87,32.29,21.94,14.12,21.09,13.12,10.73,18.93,14.71,17.37,19.96
Abcf3,26.98,39.36,39.43,38.75,28.68,21.22,20.62,93.52,14.45,12.94,21.21
Abcg1,36.72,19.75,36.24,20.91,39.84,17.65,13.32,25.4,22.8,23.03,24.45
Abcg2,46.33,73.06,36.22,43.15,54.12,17.57,15.94,15.24,7.37,12.83,22.01
Abcg3,49.83,46.53,54.01,54.41,78.65,35.28,32.84,51.53,32.18,31.55,44.74
Abhd10,40.49,31.59,45.86,30.67,21.99,19.42,18.53,27.04,12.36,20.85,9.52
Abhd11,31.75,10.6,17.57,19.06,33.66,19.96,19.49,14.14,26.77,15.99,35.65
Abhd12,9.39,10.96,10.4,18.38,10.01,11.61,5.68,5.5,6.17,5.47,4.09
Abhd13,4.32,6.88,8.05,5.28,4.22,3.13,5.35,1.12,3.89,2.65,2.46
Abhd14b,1.54,1.34,2.41,10.23,9.5,3.5,3.73,3.74,6.74,6.17,15.29
Abhd16a,108.7,108.27,65.36,111.96,84.78,90.04,108.76,78.68,59.1,59.43,54.61
Abhd17a,6.12,3.55,4.73,11.76,6.03,9.41,11.75,6.2,3.67,3.19,2.29
Abhd17b,11.03,8.93,5.61,9.51,8.43,9.55,6.49,9.06,7.26,7.6,1.04
Abhd17c,13.82,11.15,4.75,4.03,9.13,9.51,8.66,10.11,17.42,11.8,10.36
Abhd18,8.63,3.68,11.11,2.27,7.81,9.59,0.83,8.22,3.02,11.96,2.67
Abhd2,7.67,12.82,10.53,8.36,12.5,9.78,13.43,9.5,10.52,12.61,8.47
Abhd4,29.41,12.37,19,14.07,21.64,10.28,4.04,18.19,5.52,8.07,13.07
Abhd5,46.1,26.8,15.72,21.51,15.39,27.56,17.94,16.75,15.31,13.91,10.79
Abhd8,2.64,3.52,2.1,4.1,3.16,4.89,4.04,1.78,4.66,2.28,2.34
Abi1,69.02,117.82,96.33,95.69,96.11,88.52,69.71,65.79,77.1,77.45,78.56
Abi3,236.93,254.38,270.93,240.11,290.1,153.95,78.82,103.95,139.17,205.21,165.17
Abl1,11.09,8.2,24.13,9.36,20.18,6.4,4.15,6.79,4,5.9,9.78
Abl2,0.57,1.8,2.12,0.75,0.96,0.88,2.02,0.84,1.76,2.23,0.88
Abr,178.91,251.49,195.39,209.42,198.48,134.7,168.25,131.16,133.82,128.54,118.65
Abracl,247.81,241.07,338.8,311.92,273.54,269.4,235.14,298.82,302.64,307.86,248.59
Abraxas2,54.96,58.44,57.52,42.39,64.01,48.15,43.58,34.02,36.86,36.14,49.15
Abt1,9.12,13.78,9.77,14.26,10.41,8.34,8.06,11.13,17.19,6.6,5.77
Abtb1,31.85,18.54,39.37,20.67,35.56,19.29,7.99,33.53,15.05,30.9,28.96
Abtb2,10.45,6.26,8.25,4.39,9.19,11.19,14.49,13.09,10.23,7.73,10.79
Acaa1a,85.31,77.7,91.96,103.34,70.23,108.25,85.77,79.52,80.46,94.8,94.09
Acaa2,23.98,24.32,26.86,39.14,26.28,28.32,15.77,25.28,37.82,41.67,24.12
Acaca,5.31,3.87,1.29,3.11,3.79,0.77,1.46,2.44,1.22,7.97,1.03
Acad11,10.6,4.99,6.27,9.17,7.68,5.89,1.26,3.94,2.34,3.98,4.71
Acad8,14.01,10.74,17.24,10.92,8.55,2.8,10.9,8.89,4.7,2.85,2.98
Acad9,17.49,11.99,9.77,18.5,6.8,6.89,0,5.25,3.85,3.54,3.26
Acadl,43.42,26.34,27.7,28.3,27.34,31.44,28.33,26.33,17.06,17.91,30.77
Acadm,39.79,17.59,23.57,47.44,33.22,39.12,18.93,64.21,29.43,45.12,21.51
Acads,10.55,7.15,9.84,10.06,11.87,8.55,8.28,8.4,7.77,8,6.5
Acadsb,4.41,10.19,4.07,7.84,9.68,1.9,3.93,2.71,14.95,6.59,8.45
Acadvl,42.74,62.01,57.73,47.28,50.09,41.36,64.73,42.55,57.74,53.1,42.07
Acap1,140.85,108.02,150.75,145.66,176.66,110.28,87.1,142.24,88.16,116.25,94.11
Acap2,14.51,10.85,18.77,16.05,12.92,15.24,12.01,16.68,12.99,19.48,19.38
Acap3,6.4,8.25,9.67,3.09,7.77,3.16,0.9,4.22,4.83,4.8,1.4
Acat1,17.02,27.57,13.94,22.89,15.06,13.63,20.64,13.4,22.46,15.89,18.55
Acat2,23.82,20.86,19.74,14.69,17.25,7.8,8.29,12.9,16.67,13.21,8.45
Acbd3,4.73,10.98,6.57,9.17,6.51,10,9.12,10.87,7.29,8.3,11.41
Acbd5,34.71,31.84,31.66,31.09,24.02,16.79,17.31,27.34,13.14,15.88,13.75
Acbd6,5.58,9.28,4.66,8.38,6.8,5.55,3.16,14.39,3.66,14.91,5.49
Acd,45.95,40.78,67.61,53.88,43.57,49.72,38.23,49.08,40.94,47.45,36.71
Ace,2.55,2.23,1.52,1.89,4.26,0,0.85,0.28,0.27,1.54,0.78
Acer3,57.77,101.48,71.4,108.46,100.19,50.7,66.07,67.14,58.06,88.42,61.06
Acin1,49.3,48.69,75.87,46.23,58.83,33.88,33.55,56.07,45.09,46.41,45.66
Acly,49.98,66.28,56.03,57.63,91.52,40.87,35.91,35.16,40.78,41.8,47.14
Aco1,4.89,8.53,2.79,5.59,6.37,0.27,1.93,1.85,1.29,1.86,1.46
Aco2,29.48,31.36,42.89,38.43,39.92,35.19,40.45,16.6,32.29,18,39
Acod1,242.19,150.82,193.15,122.86,98.18,610.92,670.03,908.92,448.06,397.62,495.94
Acot13,22.75,19.77,10.14,19.46,19.06,34.63,22.4,14.95,18.25,24.12,7.04
Acot2,20.42,16.21,12.11,9.87,21.47,4.55,8.95,6.61,1.3,4.9,6.43
Acot7,85.91,82.04,117.92,112.95,99.3,70.23,98.08,101.08,101.05,104.1,79.4
Acot8,31.61,21.52,45.47,13.94,32.62,25.7,31.32,50.25,13.97,43,21.07
Acot9,41.93,95.91,67.71,68.37,68.92,99.48,134.38,106.7,76.36,121.38,72.6
Acox1,30.39,9.33,32.93,20.11,18.16,17.24,10.13,18.17,8.14,15.35,19.5
Acox3,30.95,35.68,37.02,27.95,39.95,27.11,19.28,50.88,20.58,18.9,22.24
Acp1,13.1,17.58,11.76,12.92,16.88,32.19,15.21,19.4,22.81,24.09,22.19
Acp2,9.2,17.24,10.16,9.75,13.58,22.96,44.3,31.35,40.34,16.18,30.8
Acp5,365.96,443.01,513.55,566.27,476.34,243.25,313.13,290.04,290.9,321.01,283.84
Acp6,4.62,20.04,21.06,17.58,14.77,8.72,10.49,10.74,8.48,7.91,2.79
Acpp,107.33,70.26,73.8,78.3,55.59,67.22,38.19,88.58,69.54,56.81,60.02
Acrbp,12.67,11.89,9.83,9.88,18.75,2.71,12.69,20.91,12.59,10.57,6.69
Acsf3,7.46,5.7,1.75,2.31,3.85,3.91,5.54,6.02,7.04,5.92,5.43
Acsl1,15.45,1.91,3.16,13.04,12.8,1.07,1.73,4.46,6.09,2.25,6.53
Acsl3,5.56,5.18,1.74,2.7,1.24,3.29,2.49,1.63,3.57,1.23,3.81
Acsl4,33.35,46.01,35.61,48.5,43.37,33.95,33.92,34.95,45.96,38.25,28.53
Acsl5,31.82,39.24,46.39,50.96,45.95,24.77,28.21,27.09,27.02,25.75,26.4
Acss1,13.42,12.46,20.4,19.34,18.56,15.8,3.08,17.01,13.81,19.83,21.67
Acss2,4.81,10.1,10.59,5.16,14.03,11.24,8.6,9.78,1.94,5.17,4.36
Acta2,9.24,11.92,9.44,7.66,4.08,9.4,8.47,8.97,2.14,8.51,9.95
Actb,4441.51,5246.71,5269.46,5004.18,6368.08,5771.14,6138.98,5791.77,8139.71,8240.3,8287.84
Actg1,7115.33,7664.3,7400.26,8277.38,9091.32,9133.4,9124.23,8317.89,8310.66,9640.05,9736.7
Actl6a,17.05,29.82,52.7,30.95,29.06,26.54,25.03,20.22,11.49,24.64,12.92
Actn1,15.66,28.65,10.33,11.16,19.32,12.39,9.11,28.01,12.02,30.92,20.47
Actn4,69.83,52.71,59.27,53.7,98.06,44.55,50.78,49.32,35,43.82,31.77
Actr10,62.99,54.81,61.04,60.32,36.21,75.73,29.24,21.91,19,60.47,64.83
Actr1a,88.17,68.65,63.26,55.8,67.83,39.03,38.26,50.74,45.86,31.29,36.87
Actr1b,15.51,17.81,16.36,18.42,21.88,14.1,6.2,13.03,13.72,15.99,6.91
Actr2,270.75,305.55,266.04,314.35,302.96,267.3,266.16,268.08,313.5,323.38,302.47
Actr3,1042.44,1620.12,1061.38,1461.5,1124.02,1544.46,1899.82,1344.73,1611.65,1289.03,1433.14
Actr5,0.53,1.69,1.56,5.76,3.27,5.18,2.84,9.56,3.36,4.11,6.53
Actr8,18.7,17.07,30.93,15.92,17.93,10.18,10.59,27.88,10.24,15.05,13.42
Acvr1b,7.04,7.17,8.79,7.08,7.77,3.97,1.52,2.45,4.31,3.86,2.11
Acvr2a,1.47,1.14,0.86,1,1.76,2.06,0.32,0.65,0.85,0.2,1.42
Acy1,9.44,10.22,21.62,3.15,12.18,14.15,20.24,22.34,17.61,10.1,10.09
Acyp1,25.72,66.22,57.87,53.68,34.94,55.46,33.3,44,65.01,50.84,59.64
Ada,12.71,5.54,2.36,3.89,5.09,4.14,5.29,12.12,5.03,9.04,4.01
Adam10,7.4,12.1,12.78,8.29,11.18,4.26,4.76,6.36,8.66,3.71,7.02
Adam15,7.33,13.74,6.11,14.3,28.73,6.91,9.17,11.89,2.51,13.19,9.16
Adam17,19.65,21.64,20.22,20.22,15.43,31.23,34.12,23.15,26.81,18.67,19.25
Adam19,87.2,53.96,63.1,84.25,116.76,56.7,55.37,44.09,55.1,76.21,81.28
Adam28,20.32,16.31,20.86,10.21,14.7,21.75,11.43,18.82,3.9,17.71,13.75
Adam8,568.14,677.51,539.69,676.91,609.98,409.73,381.94,357.36,346.32,358.78,357.47
Adam9,7.09,5.51,2.02,5.74,1.84,5.85,7.7,10.78,7.36,5.12,9.38
Adamdec1,2904.45,3496.5,3287.56,3920.71,4099.64,2019.8,2092.93,2009.62,1782.74,2112.7,2033.6
Adamts10,5.5,6.13,2.24,4.47,4.88,2.92,5.6,3.35,3.3,4.79,13.78
Adap1,7.46,8.28,6.19,13.53,8.24,8.79,15.08,14.51,23.09,22.99,17.53
Adar,12.59,18.71,20.02,8.22,25.53,8.52,12,9.87,9.57,19.25,7.87
Adck1,30.01,16.21,21.16,18.36,32.63,22.06,26.33,41.83,14.39,28.01,18.1
Adck2,11.69,12.72,25.68,26.74,15.84,14.43,2.17,12.15,5.75,12.93,9.51
Adcy7,47.63,20.44,44.75,28.88,49.79,13.57,10.67,20.93,22.61,26.09,21.68
Adcy9,7.87,13.35,8.71,7.37,8.84,4.05,5.19,3.28,4.97,3.83,4.67
Add1,63.16,34.81,52.41,47.41,70.39,59.05,46.94,62.19,58.71,68.7,85.24
Add3,9.84,8.57,8.62,13.89,13.53,4.74,10.76,12.77,7.22,15,8.84
Adgre1,380.78,346.7,402.36,528.7,548.69,332.79,349.43,361.07,306.41,473.49,457.78
Adgre4,207.44,219.69,155.25,271.78,281.4,180.54,186.79,173.98,186.5,217.72,162.48
Adgre5,163.14,76.59,115.2,90.95,93.75,192.26,197.95,206.71,165.72,179.72,243.68
Adgrg3,217.98,221.15,231.49,295.3,242.02,163.57,149.91,136.75,124.07,147.94,82.02
Adgrg5,3.61,2.26,10.39,6.21,4.43,2.69,0,6.11,1.98,0.35,2.17
Adgrg6,4.27,2.24,6.7,1.23,5.27,4.71,3.05,8.11,3.08,4.37,9.02
Adgrv1,41.98,64.02,40.65,41,38.62,25.31,22.71,17.46,9.39,19.02,17.82
Adh5,40.56,36.24,43.87,38.03,47.29,30.44,35.02,38.3,55.24,27.38,54.51
Adipor1,419.88,547.11,474.72,465.86,454.09,432.56,412.48,425.69,352.1,323.92,381.88
Adipor2,15.25,25.88,17.69,16.96,9.76,18.82,18.02,14.19,15.32,14.68,13.76
Adk,2.79,1.98,2.96,0.26,2.15,3.25,4.98,3.73,7.38,2.89,3.89
Adnp2,10.53,15.54,5.01,16.05,8.18,11.85,11.21,9.81,5.96,7.92,11.7
Ado,6.02,11.79,8.5,10.91,12.81,5.31,4.93,11.42,0.78,4.64,7.55
Adora2b,6.43,5.74,4.94,1.59,9.53,11.47,8.41,17.86,5.59,9.54,8.53
Adora3,25.76,61.1,40.23,20.7,35.06,36.29,38.26,24.65,22.93,39.01,31.19
Adpgk,101.69,81.89,78.52,94.39,130.76,70.7,45.73,74.04,32.65,65.42,75.25
Adprh,140.93,265.4,188.18,236.7,238.22,172.14,184.92,123.11,145.5,131,127.61
Adprhl2,11.68,20.46,29.12,12.55,21.43,12.92,30,19.7,5.69,13,12.34
Adprm,27.9,7.99,30.11,17.54,22.41,9.75,19.41,39.29,11.26,12.24,27.78
Adrb2,780.68,373.4,397.33,493.34,566.46,341.55,264.76,453.43,340.08,535.19,625.89
Adrm1,84.16,123.64,106.96,102.42,70.72,100.96,102.36,105.44,51.57,39.95,57.8
Adsl,19.84,14.61,16.5,18.4,24.35,41,22.18,13.04,17.6,4.15,22.96
Adss,98.61,72.44,82.66,73.63,87.27,81.3,49.35,85.9,56.23,94.42,87.35
Adssl1,9.34,7.61,6.28,7.99,13.15,15.57,11.09,16.66,8.91,14.04,19.91
Aebp2,11.57,10.55,7.37,5.52,7.78,6.65,17.36,11.21,11.04,7.09,10.65
Aen,13.87,26.67,20.26,14.76,8.87,29.09,22.21,15.85,21.14,27.86,17.87
Afdn,6.41,8.79,5.85,13.05,2.45,4.82,0,8.42,4.86,0.93,3.91
Aff1,7.7,12.41,21.44,10.11,11.52,28.51,12.6,26.59,12.12,31.96,37.34
Aff4,53.37,35.34,25.31,38.97,32.28,32.39,28.97,30.44,36.53,36.12,28.07
Afg1l,22.08,4.31,8.91,8.64,4.8,0,4.79,1.81,3.74,4.96,2.15
Afg3l1,15.42,18.56,23.32,18.55,22.92,38.18,25.58,15.07,27.13,14.91,26.82
Afg3l2,9.78,9.83,4.78,14.16,14.68,7.37,4.59,11.16,7.95,14.85,9.28
Aftph,24.11,47.63,34.78,38.51,23.62,37.26,34.81,30.34,28.76,42.87,38.24
Aga,26.67,43.26,32.48,43.83,40.73,25.56,29.73,24.35,49.25,20.4,17.83
Agap1,7.69,9.08,8.43,7.38,10.22,7.66,16.77,11.12,4.57,10.55,6.15
Agap3,12.35,16.06,18.07,11.38,11.07,4.4,4.23,11.44,9.23,9.05,14.14
Agfg1,10.78,7.5,10,5.11,8.57,8.31,11.18,9.34,10.31,9.08,13
Agfg2,11.16,5.03,2.45,9.97,5.78,4.34,5.51,6.92,3.98,17.59,7.21
Aggf1,10.23,12.42,6.72,5.35,6.42,16.95,6.15,6.66,8.25,10.59,7.43
Agl,24.37,8.26,21.23,12.46,17.66,18.06,24.06,23.02,14.9,11.8,15.06
Agmo,13.33,9.54,9.49,7.79,9.79,6.63,0.31,2.64,1.15,1.34,1.3
Ago1,3.55,3.93,3.98,0.95,2.02,1.92,0.68,1.57,1.83,0.49,1.66
Ago2,41.92,57.53,37.14,43.27,36.4,32.71,34.07,25.99,30.03,29.61,29.52
Ago3,7.82,7.05,6.59,23.7,2.87,5.51,1.79,12,6.39,19.88,1.64
Ago4,3.94,1.99,1.67,1.82,3.14,2.93,0.73,1.71,2.52,1.67,3.11
Agpat1,8.92,22.35,11.85,6.29,19.85,15.98,12.29,13.02,9.7,15.28,12.47
Agpat4,78.48,140.59,78.61,92.29,82.16,103.37,170.13,110.46,85.89,75.71,71.83
Agpat5,28.18,15.57,17.44,19.4,16.52,33.46,32.53,31.18,24.82,21.12,23.43
Agps,8.36,19.13,10.86,6.75,9.23,6.54,18.34,5.43,7.41,5.91,7.12
Agrn,2.81,2.01,0.68,2.22,0.34,1.62,2.93,2.03,4.41,2.16,4.38
Agtpbp1,14.69,10.54,11.72,18.1,9.66,56.99,22.78,17.36,7.98,8.53,7.65
Agtrap,10.71,8.79,13.11,12.56,8.97,27.23,13.2,20.13,13.52,8.16,7.45
Ahctf1,6.02,25.37,12.37,35.93,14.44,7.16,11.84,10.69,13.34,5.1,21.46
Ahcy,10.63,10.98,14.88,8.57,4.74,6.85,12.12,6.12,6.8,6.03,12.79
Ahcyl1,8.4,20.46,19.02,11.38,16.64,15.99,9.48,13.37,16.69,15.37,8.39
Ahcyl2,23.47,33.09,41.98,19.33,26.31,30,23.18,28.43,26.47,19.02,39.98
