gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
Mrpl49,30.89,13.33,10.75,9.31,22.04,4.78,6.95,16.31,15.01,18.89,3.12
Mrpl50,6.71,16.29,19.27,13.3,14.95,17.98,23.08,17.15,10.89,9.64,11.48
Mrpl51,8.06,20.69,22.18,19.04,8.62,8.94,17.11,8.07,14.1,20.52,5.3
Mrpl52,47.18,93.04,67.33,83.37,121.65,122.47,119.1,160.68,175.26,95.17,111.51
Mrpl53,37.03,29.68,9.06,11.99,8.57,30.63,27,34.11,28.06,16.02,8.55
Mrpl54,79.62,160.59,116.07,131.7,95.38,185.23,242.32,200.58,208.16,174.57,212.56
Mrpl55,10.97,10.86,14.29,15.73,22.77,28.76,7.91,7.62,19.68,16.36,16.89
Mrpl57,41.69,96.89,87.34,91.95,90.33,123.32,93.1,78.8,98.68,80.39,91.21
Mrpl58,21.77,21.51,12.02,12.72,15.37,12.59,15.26,10.99,31.11,11.05,25.04
Mrpl9,69.24,63.11,56.89,50.88,48.82,50.78,45.69,47.14,42.93,46.55,23.52
Mrps10,11.29,16.47,25.92,10.56,8.26,14.65,18.9,18.64,26.39,10.85,16.92
Mrps11,7.17,6.76,20.25,19.17,6.72,3.6,15.59,15.71,3.24,13.99,1.9
Mrps12,23.96,23.95,30.3,56.49,39.4,49.09,38.13,42.51,42.95,41.8,21.07
Mrps14,76.15,91.62,135.94,131.04,108.4,140.14,158.25,118.36,168.07,138.09,173.36
Mrps15,27.77,27,48.96,27.49,39.19,31.28,64.45,62.28,53.5,64.41,33.48
Mrps16,14,11.94,12.82,28.21,18.42,14.78,10.1,29.99,14.56,22.55,16.84
Mrps17,73.8,81.07,49.81,91.06,73.9,96.62,88.11,107.52,81.83,61.07,83.01
Mrps18a,67.51,94.96,85.97,73.68,75.43,73.24,101.71,70.8,91.68,60.22,68.21
Mrps18b,37.01,49.41,34.69,23.98,27.54,112.67,156.51,71.39,81.3,89.72,107.87
Mrps18c,91.61,107,118.27,123.18,68.9,123.08,146.82,104.25,111.83,116.98,73.31
Mrps2,2.49,8.3,11.05,6.54,3.64,10.27,9.53,6.72,5.78,1.54,4.28
Mrps21,145.01,91.5,183.52,138.31,145.84,114.8,162.09,184.35,259.88,180.56,183.01
Mrps22,6.89,24.82,4.84,7.63,13.69,5.85,6.9,11.51,9.13,14.53,0
Mrps23,28.55,97.83,43.7,37.05,40.88,54.02,65.14,37.98,67.31,41.1,33.19
Mrps24,58.53,49.02,43.68,39.69,34.42,36.27,33.44,51.76,32.48,49.39,35.65
Mrps25,32.68,17.45,26.47,20.34,4.9,11.16,20.78,16.31,26.05,24.35,26.8
Mrps26,25.28,28.59,22.46,27.37,21.74,25.14,13.91,20.21,13.11,19.35,17.27
Mrps27,2.85,14.39,8.81,6.67,12.93,2.74,7.3,10.07,0.53,3.88,8.84
Mrps30,10.68,11.66,10.97,10.27,8.07,10.1,11.57,5.32,5.88,8.13,5.93
Mrps31,9.51,3.1,5.38,4.04,8.22,6.3,2.32,5.46,1.35,12.26,12.49
Mrps33,56.43,80.74,87.8,72.7,61.32,38.01,73.85,70.59,67.81,81,61.92
Mrps34,7.05,16.47,15.95,11.09,13.29,6.06,3.73,4.88,4.62,2.49,12.13
