gene,BM_1,BM_2,BM_3,Blood_1,Blood_2,Blood_3,Blood_4,SP_1,SP_2,SP_3,SP_4,Lung_1,Lung_2,Lung_3,Skin_1,Skin_2,Skin_4,Colon_1,Colon_2,Colon_4,SI_1,SI_2,SI_3,SI_4
Tnfrsf10b,1.12,0.9,1.87,3.44,5.46,2.4,5.05,2.51,4.82,8.03,3.69,1.25,0.8,1,5.3,4.37,6.44,4.55,3.64,2.58,0.78,0,1.49,1.25
Tnfrsf12a,2.93,1.67,2.98,14.24,4.31,15.22,8.35,3.89,1.82,16.65,2.37,10.44,26.89,19.55,15.47,27.53,34.55,15.61,49.26,19.5,26.09,30.33,26.6,22.02
Tnfrsf13b,11.79,13.23,17.39,2.46,0.52,0,1.78,2.42,7.99,0,2.71,1.01,0,0,6.59,3.24,15.31,4.26,10.26,8.69,2.92,0,2.04,0.89
Tnfrsf14,4.94,12.16,10.52,1.94,4.5,4.15,2.57,7.01,0,22.15,3.67,4.17,0,0,1.3,5.32,10.84,5.89,0,2.27,23.31,11.26,9.73,9.8
Tnfrsf18,21.3,33.76,35.78,27.64,40.38,20.75,28.74,45.54,52.95,32.14,24.32,20.43,29.44,21.59,14.92,14.25,19.84,51.12,51.81,52.87,14.91,20.42,9.63,18.58
Tnfrsf1a,52.86,50.36,52.99,15.43,26.39,16.05,25.27,15.23,26.56,25.09,38.13,43.13,35.27,43.84,35.74,39.85,47.45,75.97,65.86,77.53,293.07,238.76,243.27,307.74
Tnfrsf1b,10.08,9.5,11.13,10.16,13.91,10.26,7.67,13.49,16.64,6.41,14.63,81.19,75.79,85.71,78.19,98.12,101.92,85.08,104.58,107.21,81.11,80.69,88.43,119.41
Tnfrsf21,14.33,16.59,14.74,2.68,7.59,5.87,4.65,1.28,8.23,6.04,2.19,3.99,4.28,0.1,28.49,19.5,6.69,9.88,7.76,6.11,3.34,3.57,2.76,2.77
Tnfrsf22,3.21,4.7,4.94,6.61,9.68,6.66,3.49,4.83,4.91,4.91,5.67,0.44,0.23,5.22,0.62,0.2,1.57,0.53,8.85,0.45,1.87,6.74,2.97,1.56
Tnfrsf23,4.36,3.1,3.51,1.27,1.45,5.97,10.41,1.24,4.04,0,3.9,8.8,1.42,16.72,4.44,7.22,6.69,10.23,11.37,7.55,18.82,8.9,5.29,8.11
Tnfrsf26,27.63,25.03,28.8,19.19,26.04,26.12,30.81,22.73,23.98,26.64,24.26,8.37,3.9,12.61,7.47,24.83,14.85,12.22,16.12,14.82,67.36,86.02,41.4,66.2
Tnfrsf9,0,0,0,0,0,0,0.21,0,0,0,0,0.4,3.04,0,2.96,3.18,10.79,1.19,0,0,0,1.1,0,0
Tnfsf13,22.48,16.62,23.61,0,1.72,1.63,0,1.17,1.04,1.08,0,0,0,0,0,0,2.24,0.46,1.25,0,0,0,0,1.82
Tnfsf13b,4.45,3.03,4.81,0,0,0,0,0,0.09,0,1.32,0,0.18,0,0,0,3.1,0.34,0,0,0.09,0.41,2.58,1.3
Tnfsf14,45.68,46.32,42.83,82.75,99.87,81.28,87.05,54.49,102.95,92.39,91.58,56.27,59.28,52.55,139.92,164.72,114.8,104.06,101.34,103.83,6.14,6.22,7.54,12.74
Tnfsfm13,2.43,2.44,1.86,0,0,0,0,2.14,0,0,0,0.54,0,0,0,0,0.68,0,0,0.88,0,0,0,0
Tnik,13.49,17.64,17.73,14.95,10.71,18.21,17.6,12.9,16.07,15.81,18.32,7.08,5.77,5.08,8.01,15.24,16.32,9.18,16.24,14.27,6.73,7.69,12.01,4.95
Tnip1,11.27,12.43,15.87,16.88,19.81,19.85,10.83,10.4,26.47,23.87,16.9,39.3,23.76,21.56,57.21,63.17,79.67,25.06,26.28,26.15,26.13,32.15,19.55,20.74
Tnip2,2.15,4.6,4.8,5.4,3.15,7.94,8.14,4.38,2.98,3.58,11.66,0.24,0,1.41,7.67,6.95,1.22,4.8,6.16,9.67,11.4,15.49,15.7,16.08
Tnip3,0.7,0.34,0,0,0,0.32,0,0,1.09,1.79,0.42,0.98,0.33,2.83,19.59,23.14,6.25,12.64,3.72,4.45,0,1.21,0,6.17
Tnk2,25.46,18.58,22.46,23.61,36.62,28.39,27.14,29.1,32.32,25,28.05,9.75,22.41,5.26,6.05,9.92,15.75,16.73,17.76,15.26,8.52,8.28,13.58,13.87
Tnks,3,3.69,4.55,4.31,5.03,4.19,4.79,1.91,6.38,5.49,4.53,1.96,1.34,2.75,4.14,5.06,4.84,2.55,4.8,4.34,2.88,1.55,2.97,4.75
Tnks2,10.87,9.75,14.19,26.02,22.47,25.9,17.29,25.82,26.91,17.63,25.29,11.7,11.2,6.42,22.3,13.85,18.62,11.88,10.29,12.21,13.96,20.39,12.86,6.77
Tnni2,1.66,3.48,8.39,0.39,4.02,6.51,0,0,19.22,3.94,8.54,0,0,0,79.76,22.96,14.49,10,3.86,2.6,2.14,3.1,10.7,3.72
Tnnt1,21.69,16.09,15.69,0,3.79,1.57,0,4.9,0,0,6.63,0,0,0.53,20.8,12.78,0,0,0.78,0,0.84,4.34,0,6.75
Tnpo1,16.97,18.69,17.37,14.87,18.13,19.28,15.55,14.54,26.14,20.37,17.74,9.94,16.59,10.51,15.86,12.23,20.11,10.11,10.22,20.06,14.1,18.45,21.31,11.08
Tnpo2,4.43,9.71,6.08,2.89,3.13,2.73,4.16,3.34,3.01,9.11,5.1,0.36,2.63,0.77,3.13,2.92,2.04,0.88,1.21,4.17,5.87,7.67,2.01,4.19
Tnpo3,18.54,25.18,19.73,15.45,24.32,28.97,17.92,18.17,31.26,31.98,30.92,30.38,26.83,22.86,35.95,38.21,42.31,25.61,19.04,21.41,21.33,31.86,17.5,25.22
Tnrc18,14.33,12.92,8.69,20.11,20.99,23.51,34.29,16.86,18.15,20.24,42.33,30.28,11.41,21.21,22.25,20.88,51.05,22.62,13.76,22.31,9.61,8.11,9.53,9.9
Tnrc6a,19.95,25.42,22.6,50.61,55.69,95.6,41.39,62.57,75.11,71.72,49.43,21.94,18.94,10.57,32.67,24.4,24.25,27.44,22.71,18.98,17.75,15.47,16.74,10.68
Tnrc6b,34.42,34.14,40.95,43.79,26.14,43.71,33.03,49.85,51.61,37.19,33.54,28.51,52.68,37.8,17.27,16.13,45.76,29.04,24.02,23.36,17.34,36.63,21.07,9.61
Tnrc6c,4.62,6.65,9.88,8.32,7.79,8.57,9.06,8.11,13.67,10.01,9.64,6.09,5.39,7.14,6.91,4.13,8.27,6.67,11.22,4.16,6.23,4.78,5.1,4.07
Tns3,1.07,1.83,2.39,0.14,0.57,1.06,0.84,0.49,1.8,0.94,1.35,0.46,0.16,0,0.27,0.06,0.68,0.28,0.13,0.33,0.11,2.19,0.1,0.17
Tob1,72.65,49.69,51.36,67.12,78.38,61.46,50.25,103.5,59.14,54.52,45.29,15.07,11.85,10.06,4.98,3.05,17.75,49.31,49.2,34.05,89.2,57.57,37.33,29.27
Tob2,12.65,11.47,12.82,22.42,20.8,29.98,19.59,18.55,23.11,22.83,15.86,19.98,23.3,19.32,11.87,9.6,14.78,34.8,32.9,47.12,42.56,38.15,40.68,46.34
Toe1,16.78,14.47,24.53,12.8,10.78,3.86,11.29,8.94,15.31,7.91,9.49,10.17,6.27,4.56,15.09,20.81,23.68,26.27,17.98,9.84,23.31,29.06,22.03,31.98
Togaram1,4.59,4.57,6.34,6.39,1.5,7.21,8.43,3.3,11.54,7.26,10.29,3.18,3.39,3.55,7.02,8.6,4,12.83,15.08,5.42,8.69,15.06,11.09,10.28
Tollip,21.15,22,22.94,21.23,23.03,16.37,22.37,9.88,18.4,18.03,33.74,23.64,25.7,23.76,49.36,53.53,25.82,66.62,58.2,59.67,86.5,102.92,84.92,96.88
Tom1,23.94,20.14,28.17,9.47,0.59,2.85,12.92,8.32,2.56,2.77,3.67,1.49,3.07,2.14,8.83,11.31,4.29,49.63,23.18,15.07,39.99,47.24,25.39,27.58
Tom1l2,5.16,4.72,6.66,8.39,8.93,16.72,13.24,6.4,19.57,21.57,15.47,5.09,3.41,12,10.41,4.85,5.79,3.18,1.51,6.98,5.34,2.23,3.94,4.79
Tomm20,47.09,43.09,57.45,42.89,64.29,30.23,28.25,26.51,37.07,23.09,25.58,55.59,51.35,56.98,101.97,91.94,50.34,45.51,44.81,71.96,76.81,104.13,57.3,78.56
Tomm22,201.77,202.43,209.94,198.37,204.23,195.66,240.55,260.98,232.96,226.74,248.96,187.84,169.62,179.48,260.86,315.99,242.75,224.51,173.28,210.4,160.23,188.39,159.46,176.18
Tomm34,38.62,45.91,48.82,44.14,44.27,47.87,41.18,42.37,58.12,39.88,40.2,23.12,39.24,21.82,73.81,77.46,58.42,77.32,84.43,78.31,109.74,84.37,94.66,82.85
Tomm40,30.51,36.91,44.26,15.67,9.63,8.53,13.44,6.08,38.94,17.26,25.01,3.18,20.22,1.48,23.84,26.18,6.65,47.46,24.61,47.44,31.39,24.42,45.8,32.66
Tomm40l,7.02,8.46,8.71,6.26,6.78,2.11,4.55,6.71,10.05,11.93,16.99,0.19,1.82,4.84,5.45,1.37,7.61,3.84,9.33,5.47,6.39,2,13.58,9.22
Tomm5,152.58,153.94,154.49,203.46,180.67,244.4,174.9,273.96,269.37,204.64,220.13,101.99,48.75,65.5,115.18,111.64,121.72,61.01,80.37,72.54,73.3,65.62,77.28,86.99
Tomm6,145.51,170.06,186.13,124.49,147.94,164.65,137.82,185.57,156.29,137.35,166.72,174.85,137.46,149.18,234.74,200.68,265.55,208.93,213.5,207.84,201.73,183.52,194.05,194.28
Tomm7,108.92,114.55,113.38,136.77,125.02,168.47,120.41,159.54,121.54,85.65,126.63,102.56,116.39,134.1,87.67,83.14,101,72.95,70.83,76.4,58.79,69.17,78.56,69.8
Tomm70a,6.57,7.49,5.69,4.29,3.08,7.77,3.92,5.21,4.32,7.33,7.84,1.82,2.24,2.74,8.08,6.44,7.12,4.73,4.18,4.38,1.29,1.43,2.1,2.61
Tonsl,13.99,24.71,6.98,13.74,1.49,0.48,3.8,5.33,19.49,0.62,8.19,8.84,11.64,0.73,3.98,0.72,17.44,1.41,2.11,1.46,0.31,7.82,4.22,1.75
Top1,31.23,28.21,27.77,13.23,18.96,18,16,24.38,12.57,13.33,19.98,84.94,64.78,63.47,79.34,86.71,44.58,88.72,64.95,60.98,100.08,97.4,88.92,110.73
Top2a,46.78,44.22,39.77,1.45,0,0,0,20.3,0.09,10.31,12.35,0.64,0,0.7,0.72,1.94,0,0.1,3.02,0.07,5.99,3.44,3.08,6.86
Top2b,8.59,15.66,12.54,13.31,22.3,12.83,30.44,15.46,24.54,24.96,19.95,11.75,5.44,3.93,9.7,11.27,24.53,14.19,9.05,15.13,16.23,11.55,10.58,6.72
Top3a,3.25,3.54,3.69,1.5,1.83,1.75,2.38,4.14,5.75,3.19,1.79,0.66,0.63,1.42,2.66,2.3,1.92,3.37,0.27,3.74,3.87,0.42,0.8,4.42
Top3b,25.69,34.49,38.3,19.46,36.18,26.63,26.44,30.11,25.55,36.86,24.42,20.9,13.94,23.07,24.88,37.96,28.85,39.01,15.48,22.25,28.37,26.52,31.46,30
Topbp1,23.21,18.61,11.75,6.85,7.44,4.42,5.73,8.19,3.77,5.21,4.5,17.28,1.47,3.55,4.31,6.55,7,2.65,3.64,5.48,3.72,5.97,4.88,2.93
Topors,9.45,7.15,11.09,7.25,9.33,20.1,9.59,14.47,10.54,9.08,13.22,0.55,1.62,0.72,16.52,10.84,11.33,8.36,9.61,12.58,18.29,13.75,10.72,9.56
Tor1a,81.46,77.38,67.59,50.22,49.68,47.47,54.41,28.3,85.04,49.28,35.25,44.42,29.3,20.18,76.31,68.68,54.92,44.43,23.85,67.46,99.73,66.22,90.77,117.9
Tor1aip1,38.95,26.57,32.24,27.46,44.77,23.38,23.37,39.8,49.43,38.3,30.91,48.45,40.58,54.59,84.65,124.68,66.75,83.63,69.1,76.62,100.35,87.59,98.3,89.47
Tor1aip2,22.14,24.9,19.09,23.13,24.15,24.47,12.86,31.27,32.34,26.86,32.89,39.76,50.93,29.36,114.2,144.89,83.52,61.38,55.05,44.5,84.48,81.05,38.47,60.72
Tor1b,10.63,8.29,11.03,12.93,9.22,10.41,7.69,9.05,8.81,8.71,11.2,4.81,7,1.91,16.26,16.14,9.21,10.84,9.01,4.84,13.86,5.89,6.9,16.4
Tor2a,19.48,22.86,31.07,12.65,5.12,15.56,11.99,15.92,33.38,10.27,18.35,11.53,7.25,12.66,9.66,7.42,6.74,11.08,10.1,16.28,18.33,15.92,38.2,25.37
Tor3a,12.84,8.23,10.87,3.39,2.37,6.13,6.19,5.36,10.42,7.95,5.24,1.86,3.09,1.67,13.09,29.44,26.1,4.49,5.72,3.9,16.84,7.27,6.94,10.43
Tor4a,19.12,27.78,25.18,14.38,18.91,32.83,15.12,17.72,22.64,28.61,32.32,0.33,5.65,2.59,23.62,38,20.13,10.24,5,13.63,4.18,15.17,8.25,10.97
Tox3,1.75,2.38,1.2,4.91,4.38,9.69,4.99,5.73,0.41,2.41,3.84,1.5,4.15,6.58,0.97,0.13,0.25,0.49,1.36,0.89,0.27,0,0.12,0
Tox4,8.3,9,10.29,13.7,16.48,12.12,11.05,5.14,18.47,13.07,11.58,15.61,10.61,14.26,29.2,34.32,19.03,31.48,39.57,23.12,35.02,44.6,59.73,41.17
Tpcn1,7.14,8.27,9.34,7.89,10.43,14.79,10.94,3.57,14.37,9.58,9.63,4.4,2.97,1.52,1.92,0.58,4.65,1.59,1.98,1.77,1.27,1.93,3.66,4.27
Tpcn2,10.99,6.76,10.23,6.71,4.83,16.89,5.32,8,15.9,1.32,11.92,6.09,1.02,1.39,8.39,5.93,3.77,17.11,13.89,16.81,18.4,9.36,8.8,11.42
Tpd52,9.7,8.55,12,27.2,21.2,13.77,19,29.33,22.72,35.16,23.23,54.14,65.63,92.82,119.32,188.76,167.11,106.24,85.63,116.41,50.78,49.52,57.05,74.2
Tpd52l2,24.99,42.3,42.23,24.08,43.95,49.18,33.93,35.79,22.55,45.88,43.3,37.65,17.2,17.99,30.81,21.86,21.83,33.03,19.19,29.25,53.01,26.89,27.04,20.53
Tpgs1,20.87,27.75,24.5,32.44,29.33,17.57,27.17,17.6,30.63,17.03,13.57,14.05,19.85,0,12.76,5.51,8.35,17.2,13.21,8.23,18.12,12.07,11.06,20.26
Tpgs2,2.03,1.65,1.69,3.31,1.33,2.25,0.46,0.32,1.09,0.95,0.29,4.32,0.37,0.08,0.2,1.47,0.8,4.96,1.91,4.04,1.39,2.72,3.39,2.38
Tpi1,207.46,233.03,276.67,83.95,80.82,132.79,80.31,60.21,155.35,115.04,108.33,42.58,34.45,42.21,312.34,176.31,112.93,385.04,374.05,299.96,100.05,133.27,162.56,137.19
Tpk1,8.54,0.41,1.11,0.21,0,0.47,1.54,3.07,0.18,6.76,1.21,5.65,1.21,1.03,2.98,0.18,0.33,4.36,6.98,2.42,1.04,6.51,3.56,1.22
Tpm1,17.87,22.37,23.35,35.09,28.44,31.35,32.15,25.26,36.54,42.39,46.17,3.9,10.47,3,94.06,69.76,20.69,9.5,11.15,19.23,7.13,6.88,22.13,10.45
Tpm3,532.49,575.2,503.64,651.65,591.17,669.53,508.97,376.54,531.09,540.87,498.13,871.3,824.43,730.88,1052.83,944.52,841.01,1061.98,966.58,1076.95,664.36,744.26,767.49,860.93
Tpm3-rs7,1.76,1.56,1.98,2.88,3.08,1.85,2.18,1.84,3.63,3.77,3.42,3.82,2.94,3.41,4.65,4.62,2.71,3.39,3.64,5.36,3.72,5.47,2.59,4.28
Tpm4,5.86,4.42,5.91,26.58,22.41,7.15,6.57,19.82,12.84,12.7,22.98,179.75,228.69,221.7,328.02,379.06,229.81,111.93,87.71,184.2,8.44,3.66,16.51,21.01
Tpp1,14.72,15.5,16.77,11.11,12.75,6.23,17.51,14.72,9.72,8.18,5.58,1.3,0.97,8.9,40.42,28.38,24.69,18.28,58.62,27.06,65.48,50.5,46.41,47.31
Tpp2,22.49,26.22,21.11,33.36,23.82,34.9,29.7,44.8,27.2,42.39,32.35,8.52,11.55,2.57,29.1,39.02,21.76,34.98,31.88,39.08,51.96,49.53,43.47,41.4
Tppp3,0.61,0.94,1.31,8.97,5.42,3.41,7.53,2.65,6.95,16.07,8.62,21.41,7.92,13.14,14.95,7.57,0,15.11,1.73,3.99,5.3,4.45,0.86,3.92
Tpr,116.38,91.94,95.33,118.49,128.28,140.59,145.09,181.46,112.95,175.59,172.07,90.94,84.91,103.94,70.41,88.8,177.15,152.31,67.41,97.13,86.21,66.92,87.75,39.23
Tpra1,22.89,23.09,24.88,17.74,20.84,21.35,14.05,21.32,17.74,34.1,39.5,4.27,8.9,4.3,6.14,12.86,18.3,42.36,20.65,24.95,15.66,18.79,27.83,16.89
Tprgl,37.52,36.16,38.98,96.75,106.22,110.27,92.45,136.94,102.94,97.26,90.64,67.68,65.96,77.86,67.46,38.58,74.22,24.29,26.22,36.21,31.84,28.33,21.85,24.59
