gene,BM_1,BM_2,BM_3,Blood_1,Blood_2,Blood_3,Blood_4,SP_1,SP_2,SP_3,SP_4,Lung_1,Lung_2,Lung_3,Skin_1,Skin_2,Skin_4,Colon_1,Colon_2,Colon_4,SI_1,SI_2,SI_3,SI_4
0610009B22Rik,23.7,25.12,35.04,17.1,9.08,11.8,13.89,8.83,12.05,14.75,26.99,0,1.09,1.19,5.87,15.5,25.31,0,0.89,11.34,18.69,5.41,15.22,6.39
0610010F05Rik,2.81,2.39,1.44,3.41,4.44,0.4,4.89,1.3,4.34,1.12,3.09,2.65,4.6,0.86,3.59,3.09,5.15,0.49,2.44,4.79,1.23,1.24,0.75,0.42
0610010K14Rik,67.25,51.86,49.88,23.35,60.47,50.06,34.2,51.69,59.27,40.13,36.15,48.64,43.82,40.69,62.73,82.01,58.75,67.29,66.06,77.66,73.07,64.21,43.12,54.15
0610012G03Rik,29.87,34.38,32.43,33.31,36.95,37.51,31.73,44.19,31.75,45.01,27.84,15.54,13.47,32.4,23.21,8.79,16.48,9.76,11.67,16.59,7.22,12.03,9.27,11.98
0610030E20Rik,28.28,28.85,22.97,29.27,24.49,21.51,24.93,34.53,34,34.38,32.85,14.3,28.12,31.86,27.77,27.97,22.19,18.21,14.42,10.37,19.88,19.07,15.76,13.8
1110004F10Rik,57.53,79.57,88.78,63.39,50.19,55.73,44.48,50.62,64.85,58.18,64.99,47.7,43.29,33.78,124.15,120,85.65,87.93,108.98,78.07,125.02,100.24,110.43,117.61
1110008P14Rik,86.12,90.68,85.02,69.81,76.28,52.35,69.19,76.27,59.46,55.71,43.93,114.79,47.03,88.48,87.58,60.25,68.24,91.28,79.29,75.07,68.31,95.28,57.08,106.48
1110012L19Rik,22.95,33.63,20.38,37.55,7.98,26.13,30.48,40.39,28.28,35.1,17.11,5.26,0,0.39,12.4,19.19,11.22,5.78,12.17,14.11,6.79,15.65,14.72,18.4
1110032A03Rik,4.95,9.6,9.1,14.54,11.27,11.18,4.5,5.47,6.5,8.64,12.88,0.45,8.75,3.08,1.89,0.2,3.59,4.27,0.53,3.3,13.96,1.29,1.68,5.37
1110038F14Rik,33.9,33.81,30.41,30.71,29.7,38.68,32.4,29.44,28.61,35.38,30.3,5.67,8.93,18.61,23.77,40.44,40.22,15.34,24.37,28.89,20.86,20.63,23.33,12.99
1110051M20Rik,9.08,12.25,17.7,2.48,4.81,9.91,6.58,10.16,4.9,1.5,5.08,20.19,1.42,20.24,5.79,1.45,3.14,8.31,7.12,5.71,5.19,4.58,7.3,5.64
1110059E24Rik,11.51,21.07,22.6,10.37,15.19,31.55,10.87,27.19,5.1,8.24,14.27,8.56,3.27,2.16,17.61,16.71,22.95,3.07,3.16,4.32,5.16,2.79,5.92,9.74
1110059G10Rik,18.12,25.98,28.39,17.67,13.36,31.61,18.34,13.23,9.47,10.39,27.01,9.71,15.33,21.07,19.49,13.84,3.35,5.21,12.42,22.59,6.36,8.33,10.63,30.87
1110065P20Rik,1.02,1.68,1.59,3.66,5.99,0,3.24,13.01,10.19,11.72,11.82,10.86,16.94,2.24,18.72,2.64,5.3,2.24,5.46,7.9,0,0,7.67,3.13
1190007I07Rik,17.08,17.97,27.55,2.84,11.22,4.71,15.95,8.69,20.2,4.15,8.84,4.78,0,3.63,0,0.95,3.4,2.49,5.5,4.46,7.3,13.37,12.8,9.9
1500011B03Rik,33.27,40.58,45.63,46.26,51.51,50.57,65.53,58.68,39.53,57.47,36.73,42.88,34.13,30.88,10.59,19.26,12.72,7.76,26.07,12.52,10.54,8.97,15.9,23.72
1600012H06Rik,20.27,26.66,21.9,26.37,25.85,18.28,38.65,27.78,21.81,35.65,45.03,21.73,21.71,25.55,38.94,30.24,15.76,35.32,42.71,22.94,28.73,16.54,27.27,36.93
1600014C10Rik,60.67,61.26,67.19,53.84,87.1,57.27,71.87,42.23,95.33,69.79,77.74,6.75,11.06,5.02,6.83,12.99,50.38,43.4,43.62,39.44,79.72,63.28,81.15,62.23
1700010I14Rik,5.97,2.68,7.53,4.34,2.78,12.19,10.87,3.5,9.72,7.77,1.13,0.25,0,0,0.59,0,2.07,1.96,3.27,0,0,0,0,0
1700012B09Rik,0,0,0,0.62,0,0,0,0,1.15,0,0,11.34,54.98,55.17,0,0,0,16.58,0,0.89,0,0,9.28,1.17
1700017B05Rik,36.24,34.54,41.51,54.57,66.1,64.89,22.99,25.24,62.84,29.03,38.87,284.65,298.83,318.31,82.47,147.38,77.15,201.64,172.98,121.83,77.83,117.42,88.2,76.11
1700020L24Rik,47.89,46.32,54.06,0.73,1.54,1.3,2.11,12.37,2.78,0.91,3.32,1.16,0,0,6.65,0.62,0,0,3.11,2.66,0,0,0,0
1700037H04Rik,37.22,34.89,49.38,14.3,12.42,17.16,8.49,9.87,8.83,21.56,13.94,3.24,9.38,3.32,15.13,6.51,7.96,12.19,13.35,9.3,8.8,6.84,13.11,7.31
1700066M21Rik,4.34,2.68,2.19,2.06,2.03,0.55,0.79,3.4,2.33,6.73,2.27,0,0,0,0,0.75,2.56,0,1.87,1.12,0,0,1.17,0.15
1700094D03Rik,1.64,1.29,0.71,2.05,4.75,1.8,1.44,1.31,2.26,0,3.41,0.79,0.5,0.13,0.79,0.16,2.83,3.61,1.01,0.95,1.24,3.45,0.99,3.96
1700109H08Rik,0.14,3.82,0.87,2.64,1.88,7.83,0.37,0.92,6.82,0.63,0,4.9,3.58,3.13,1.38,1.68,2.78,1.57,0.48,2.75,0,1.43,1.28,11.62
1700123O20Rik,74.65,82.81,88.86,38.67,64.92,39.8,41.57,50.48,62.3,47.45,54.73,14.08,8.71,27.66,110.5,61.7,108.47,41.35,39.01,35.57,65.57,47.03,38.09,55.58
1810009A15Rik,71.08,73.84,65.77,50.81,51.16,49.75,30.1,45.95,48.87,47.56,25.86,23.25,21.87,23.49,77.46,100.67,96.53,35.73,46.72,40.61,41.23,35.01,50.98,29.2
1810013L24Rik,12.41,11.27,10.99,18.83,15.94,18.22,14.09,20.19,26.28,40.46,17.5,34.69,40.21,12.97,32.88,47.09,39.71,44.31,51.95,27.15,66.63,40.62,42.96,33.27
1810030O07Rik,16.1,19.06,21.49,9.81,18.28,14.29,21.83,14.21,27.86,23.02,16.72,16.17,6.95,17.91,17,21.44,9.63,10.52,21.35,20.12,13.4,16.4,25.47,16.88
1810037I17Rik,232.98,203.18,218.39,142.28,130.29,173.26,178.54,252.69,150.07,179.76,185.65,158.37,171.91,202.82,147.13,123.67,133.5,135.12,160.53,170.22,182.15,154.05,126.42,189.88
1810055G02Rik,7.79,4.42,6.54,0,0,0.27,0,0.78,0,0,0.82,0.48,3.2,3.29,3.38,0,2.83,3.02,3.43,3.23,11.81,6.71,2.92,1.02
1810058I24Rik,86.37,98.09,108.8,197.34,208.99,199.1,180.13,190.42,191.7,208.71,136.55,161.61,120.24,138.88,93.71,60.61,75.25,67.19,75.08,81.45,84.02,61.39,67.82,122.7
2010315B03Rik,7.44,7.03,13.22,2.41,8.84,11.39,8.82,3.43,14.94,4.38,10.46,2.89,8.18,16.1,11.93,13.77,11.04,9.54,4.71,6.32,7.1,6.48,9.01,11.58
2210016F16Rik,21.28,18.64,20.54,13.02,12.42,17.81,22.8,23.01,29.67,31.15,21.51,6.53,7.12,5.56,45.6,38.74,40.68,13.57,12.08,21.88,20.97,10.97,17.2,12.96
2210016L21Rik,4.96,4.95,7.66,5.48,3.05,3.71,14.55,4.66,4.34,6.05,8.02,3.36,0.12,1.79,7.6,10.87,7.73,6.42,3.2,7.17,9.7,6.52,2.3,6.17
2300009A05Rik,14.95,9.48,22.59,14.39,12.54,19.98,14.3,22.57,14.94,9.61,8.43,4.67,8.49,5.97,8.71,7.8,16.36,11.74,7.97,18.62,2.96,4.7,30.86,14.37
2310009B15Rik,47.42,61.17,49.14,52.01,60.05,18.21,43.74,90.1,76.71,53.92,44.18,61.09,68.14,73.47,33.35,22.2,50.2,50.67,24.22,37.89,66.94,45.66,66.23,69.38
2310011J03Rik,52.27,46.02,64.68,58.11,70.61,70.73,71.75,38.56,76.03,84.72,87.95,50.48,37.76,61.05,95.8,74.76,74.28,86.04,64.58,72.64,66.46,52.69,87.3,90.16
2310022A10Rik,10.65,10.12,4.89,2.03,2.19,3.3,4.22,10.83,3.85,4.46,5.38,0,0.75,0.3,3.73,4.89,7.32,13.61,10.61,3.75,6.08,5.1,5.33,10.59
2310033P09Rik,18.78,14.56,17.47,9.29,4.87,14.15,18.93,16.64,12.7,28.49,11.11,16.39,20.25,7.79,34.21,22.86,31.04,24.79,28.98,22.64,18.35,13.53,24.44,13.55
2310039H08Rik,19.23,16.7,20.08,9.38,3.07,7.9,4.38,10.77,10.67,1.25,22.91,6.85,12.72,12.5,13,7.72,1.55,23.46,12.89,6.95,3.61,12.03,13.83,19.57
2310057M21Rik,2.32,5.56,3.09,3.16,0.31,2.33,1.72,1.69,3.03,5.14,7.31,4.03,0.4,2.5,5.64,6.24,0.92,8.38,6.91,1.4,12.17,2.25,7.78,10.85
2310061I04Rik,6.92,9.29,7.32,16.04,13.74,2.52,11.27,14.58,9.73,7.63,24.76,8.03,7.2,2.8,5.94,3.64,4.58,12.13,4.07,7.62,0,1.29,11.92,8.1
2410002F23Rik,15.46,12.73,11.99,5.06,6.22,14.44,12.26,13.39,16,9.22,8.31,7.27,2.49,1.51,16.2,19.62,15.11,45.37,29.29,20.84,68.72,68.94,43.48,33.18
2410004B18Rik,19.53,39.5,43.62,64.44,87.27,45.8,49.8,59.37,45.19,88.77,79.13,36.21,19.24,31.77,88.24,77.25,66.78,44.77,68.17,51.08,62.54,50.47,58.6,55.35
2410004P03Rik,1.13,0,0,2.6,4.5,1.2,1.24,0.48,0.13,0,1.68,0,0.09,1.12,0,0,0,0,0,0,0,0,0,0
2410131K14Rik,1.52,1.28,2.4,0.38,0,1.06,1.13,1.55,1.34,0.69,1.78,0.67,0.16,0.06,2.21,2.28,1.6,0.94,3.37,2.67,5.62,4.1,1.85,1.05
2510002D24Rik,63.09,38.13,53.09,38.2,42.29,60.77,55.08,60.86,64.62,57.96,55.11,13.16,53.58,12.19,22.52,18.19,24.39,9.64,29.56,35.62,22.39,30.58,42.82,43.57
2510009E07Rik,0,0,0,0.05,1.34,0.47,0,0.1,0,1.88,0,0,0.52,1.87,0.47,0,0.16,4.03,3.13,6.41,16.49,23.97,16.45,19.75
2510039O18Rik,15.57,15.07,16.7,22.29,20.46,21.92,18.05,23.54,17.29,27.97,17.65,14.89,24.14,17.68,15.52,29.32,19.96,12.25,13.67,14.58,12.88,7.34,16.13,10.06
2610001J05Rik,49.13,61.9,64.87,63.09,81.44,69.17,65.33,119.8,95.75,74.02,91.83,43.09,80.93,72.22,90.72,70.41,59.33,76.91,51.02,65.49,94.82,92.8,60.32,104.94
2610002M06Rik,6.44,6.25,6.84,7.92,5.73,10.02,4.85,10.08,6.54,6.28,8.51,4.73,5.73,4.68,7.79,14.29,8.56,2.27,7.26,5.72,3.49,5.6,3.02,4.61
2610008E11Rik,1.85,1.69,2.72,3.14,2.31,4.05,1.45,5.22,1.07,5.46,2.14,0.27,0.47,2.6,11.64,4.12,4.99,1.15,6.35,2.69,0.21,1.25,1.71,2.27
2610021A01Rik,0.84,3.17,2.08,1.64,0.32,0.52,0.67,0,0.57,0,0,0,0,0,0.31,2.63,2.72,0,0,0,2.81,1.23,0.86,3.76
2610044O15Rik8,21.96,36.42,12.18,30.52,22.34,16.14,13.21,19.12,22.58,8.84,6.88,6.93,1.16,1.07,2.61,11.41,0.52,4.32,9.95,6.19,12.6,4.26,13.05,10.9
2610301B20Rik,5.61,7.51,7.86,0.29,0,7.32,1.41,0.62,2.31,4.33,7.33,0,0.7,0,5.91,0,0,0.58,2.79,0,0,2.09,0,4.64
2610507B11Rik,5.09,6.38,6.5,14.58,10.17,12.49,7.03,5.05,7.1,12.64,14.35,4.41,2.14,3.47,11.81,7.86,25.11,4.93,2.16,4.52,0.98,3.15,3.76,5.98
2700049A03Rik,3.72,1.85,2.56,0.63,3.69,1.39,1.91,1.57,2.12,0.45,2.45,0,1.58,3.09,0.56,0,0.43,2.88,2,1.99,5.03,0.43,1.13,1.55
2700062C07Rik,4.69,15.08,9.5,10.34,4.09,9.16,1.43,11.15,7.6,6.97,1.42,0.89,1.85,5.69,9.89,6.28,14.53,2.12,3.61,8.57,6.51,3.19,7.01,8.49
2700097O09Rik,7.87,9.67,11.9,7.01,5.72,8.16,7.32,2.27,8.82,3.96,5.81,3.77,0,11.1,1.98,3.35,1.02,12.52,7.84,10.3,11.83,13.51,13.41,18.36
2810004N23Rik,9.73,12.98,16.4,4.98,3.65,4.55,3.35,5.75,5.88,9.72,11.26,3.99,1.67,3.66,13.79,6.08,12.71,10.04,2.56,1.53,5.5,10.1,8.4,7.86
2810006K23Rik,4.75,7.96,5.45,4.87,1.99,1.06,1.78,3.58,7.34,0,2.42,3.12,0.21,0.24,2.76,4.39,2.76,1.1,1.67,2.44,3.3,5,5.65,4.7
2810021J22Rik,2.41,2.15,2.47,3.72,2.33,4.27,1.1,0.35,8.03,2.56,1.26,0.27,0.73,0,1.28,1.37,4.56,0.71,0.65,0.1,3.41,1.28,0.99,0
2900026A02Rik,0.05,0.13,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.84,0.57,3.06,1.93
3110001I22Rik,2.98,7.82,5.7,2.65,6.73,5.83,1.6,0.75,7.66,7.76,4.21,9.15,9.65,3.15,18.58,31.78,9.83,21.06,11.2,8.92,31.3,27.79,17.26,33.76
3110040N11Rik,23.64,32.34,20.04,19.99,26.05,20.26,14.29,36.81,45.92,17.87,40.79,30.5,12.06,9.67,11.95,11.44,9.89,29.79,23.57,31.78,24.76,24.67,15.75,23.46
3110082I17Rik,7.62,16.09,9.83,7.91,23.19,8.13,8.35,16.74,15.46,7.96,11.19,24.52,19.26,10.59,1.68,3.16,15.97,32.31,33.78,23.41,69.19,42.32,86.28,48.1
3830406C13Rik,17.22,18.58,18.62,20.14,22.87,22.98,19.32,19.03,21.35,14.03,16.64,14.89,8.38,11.94,17.38,22.6,13.65,17.92,17.12,19.65,17.39,28.16,12.19,15.63
4833420G17Rik,25.4,27.1,29.82,68.3,50.87,73.31,62.14,40.97,52.89,63.65,66.36,22.6,35.78,17.45,26.22,22.91,34.27,33.87,26.76,43.51,30.39,38.62,30.26,30.79
4833439L19Rik,13.01,24.01,19.12,19.76,10.4,7.71,15.41,5.63,14.69,18.56,12.97,25.06,19.36,17.04,30.42,39.2,26.49,27.36,31.93,48.02,27.66,31.19,30.19,25.22
4921524J17Rik,22.88,28.31,25.56,21.47,20.71,27.66,36.47,31,38.04,28.48,27.41,6.55,15.33,7.1,21.85,15.66,8.83,11.43,10.03,12.46,19.27,18.53,10.99,19.72
4930402H24Rik,9.78,9.05,7.6,10.06,11.08,13.17,12.59,5.61,14.68,8.83,14.35,8.5,15.86,9.12,16.42,15.86,8.74,12.17,13.36,7.6,17.44,11.5,7.23,1.23
4930430F08Rik,3.94,2.39,2.21,2.33,3.11,1.11,2.78,0.24,6.57,0,1.01,0.34,0,0,1.18,1.07,0,3.18,0,2.31,1.17,0.4,3.83,0.53
4930438A08Rik,27.87,29.51,32.6,1.96,2.96,3.43,0.2,12.58,2.81,4.38,6.81,0,0,0,0.61,0,0.43,1.66,0,1.69,0.23,0,0,0
4930453N24Rik,13.25,19.17,15.44,11.6,15.47,19.52,15.63,20.44,18.44,30.4,7.35,4.51,7.48,6.05,15.84,28.63,14.05,9.69,15.83,7.77,12.5,7.57,6.85,10.83
4930503L19Rik,0.98,3.49,3.72,0,0.3,0,0,1.59,0,0.45,0,0,0,0,6.44,0.89,4.1,2.07,0,0.33,0.91,0,2.87,4.58
4930522L14Rik,9.43,4.72,15.92,2.9,13.77,8.55,13.31,3.93,0.25,1.87,6.95,1.03,0,5.39,4.92,5.44,2.25,7.06,1.9,4.33,13.99,0,9.69,5.36
4930523C07Rik,39.95,34.24,49.74,63.06,55.54,70.38,111.65,29.82,105.66,78.99,109.09,71.11,86.77,94.1,49.33,55.45,88.06,49.07,61.86,60.53,71.75,38.78,35.35,24.73
4930579G24Rik,13.72,12,7.52,0,0.7,0,0,2.96,0,0.36,0,0,0,0,0.68,0.97,0.91,0.61,2.21,0,1.73,1.92,0.42,0.48
4931406C07Rik,2.3,3.48,2.99,1.56,1.25,2.9,5.29,0.77,6.32,0.54,2.53,4,0.38,1.12,0.24,1.5,1.73,0.86,0.2,0.3,1.07,0,1.53,1.06
4931406P16Rik,2.41,5.71,6.91,7.01,5.03,2.96,5.68,1.98,3.64,5.21,11.33,5.47,9.43,0.97,10.65,3.6,115.28,11.86,5.05,4.1,16.45,4.97,10.37,2.05
4932438A13Rik,26.68,28.85,36.12,65.22,49.55,65.58,42.62,38.69,69.57,68.67,49.97,100.88,111.49,105.98,58.72,102.84,96.86,74.11,36.2,73.4,53.7,63.85,45.58,73.46
4932438H23Rik,1.93,0.29,1.41,5.1,3.42,2.36,1.54,4.42,0.29,2.89,1.03,1.7,3.68,2.96,3.1,2.08,2.71,13.66,6.97,7.62,2.59,7.35,3.39,3.81
4933434E20Rik,85.27,135.28,75.71,102.65,94.73,147.44,99.11,96.79,145.05,143.44,84.24,99.17,83.65,128.06,411.93,360.95,242.6,287.56,218.52,219.34,322.16,263.1,277.08,366.55
5031439G07Rik,5.19,3.8,4.96,6.29,8.51,9.05,10.34,6.51,9.25,9.43,7.3,4.9,4.32,6.56,5.32,7.45,9.17,6.69,4.38,5.62,4.68,5.44,4.64,5.8
5430427O19Rik,0.62,1.5,0.9,1.85,0.23,0,1.34,0,1.58,1.06,3.4,5.49,0.17,3.05,7.4,2.58,1.34,3.65,1.07,4.22,4.29,0.79,2.45,2.66
5730455P16Rik,4.31,3.83,2.21,2.55,0,2.29,0.84,0.65,3.86,0.72,2.56,0,0,1.12,2.24,0,2.55,1.07,5.31,1.83,0.58,1.62,0.42,3.63
5730480H06Rik,4.71,1.44,4.13,4.67,11.49,0.52,1.26,0.29,1.71,4.13,7.83,1.15,2.04,6,3.66,4.9,0.91,0,1.57,0.3,3.21,7.06,3.96,1.61
6030458C11Rik,6.64,5.86,8.02,1.14,1.08,2.64,2.99,1.36,6.19,5.47,1.37,0.46,0,0.11,3.47,0.95,3.72,2.55,0.97,2.42,5.11,0.96,4.77,6.16
6430548M08Rik,5.73,8.31,5.94,23.79,26.86,41.19,30.65,79.78,27.92,23.35,21.67,8.76,12.16,12.71,18.32,13.82,22.61,13.37,13.86,11.69,11.5,20.72,8.03,7.18
8030462N17Rik,6.42,4.77,4.61,11.32,11.01,10.27,10.33,17.53,10.92,14.14,15.01,3.14,9.35,4.31,8.75,12.7,12.23,9.08,13.34,9.67,11.64,6.84,17.07,8.31
9030025P20Rik,7.08,2.89,8.01,2.42,8.55,8.8,8.22,2.98,5.51,3.46,11.12,0.61,0,3.98,11.51,1.23,5.54,5.19,7.63,4.88,8.37,9.82,12.25,3.59
9130008F23Rik,0,0.42,0.15,2.16,0,0,0.95,0,0.68,2.6,0,0,0,0,30.01,19.3,12,6.59,6.2,8.18,0,0.49,0.95,0
9130401M01Rik,18.81,27.06,18.68,10.58,11.29,6.89,3.86,4.71,6.42,2.87,6.32,7.98,4.88,9.34,10.76,13.98,13.72,8.3,8.85,11.1,7.95,12.8,3.74,8.54
9430015G10Rik,2.35,7.41,5.08,4.2,0.88,1.84,2.06,2.57,7.73,0.82,3,0.15,0.39,0.29,4.62,1.27,5.18,0.68,1.86,3.94,0.74,7.44,2.43,0
9430038I01Rik,8.61,14.51,12.92,15.97,11.28,23.67,10.4,20.99,10.74,6.61,1.98,12.76,7.91,17.36,5.04,5.34,4.79,14.2,13.56,2.77,12.55,22.39,6.35,15.71
9530068E07Rik,62.59,70.87,64.48,55.81,67.51,65.38,56.69,41.06,41.49,62.84,53.75,74.41,46.45,32.05,89.19,61.08,57.25,86.29,84.07,81.29,77.87,75.93,69.13,106.7
9530077C05Rik,10.37,3.23,5.72,1.65,0,0.97,3.2,1.36,7.14,0,5.08,0,0,0,0,0,0.87,0.26,1.2,2.85,26.35,11.53,11.47,6.89
9830107B12Rik,19.25,26.46,24.01,87.89,76.57,89.78,69.07,83.93,80.56,87,71.82,121.52,167.52,89.2,151.86,166.44,169.35,258,277.44,198.88,229.95,196.97,201.79,251.82
9930021J03Rik,1.65,1.89,2.26,3.78,5.9,1.63,1.63,3.01,2.71,4.32,3.42,1.77,2.8,3.06,4.31,2.64,1.64,1.39,3.06,2.9,2.07,0.57,1.79,1.27
9930104L06Rik,7.81,7.2,5.02,3.65,7.97,4.86,7.96,11.4,4.76,5.12,9.04,2.61,0,0.24,6.46,12.61,16.35,14.42,6.65,8.77,3.52,5.91,1.89,8.11
9930111J21Rik1,1,0.77,1.98,3.88,3.39,7.94,5.71,1.4,7.86,9.98,1.26,0.08,0,0.38,2.4,4.49,4.8,0.6,0.86,0.28,6.06,13.71,6.78,11.98
9930111J21Rik2,4.66,4.44,3.02,13.7,10.29,12.38,10.52,11.29,16.83,20.14,16.66,0.54,2.33,4.1,4.25,6.87,10.71,3.43,3.05,2.46,14.49,19.9,6.32,10.58
A130010J15Rik,3.06,1.97,3.66,4.32,2.2,1.53,6.37,2.86,1.7,1.92,2.61,0.58,1.51,0.09,2.92,3.6,5.96,1.45,1.99,1.08,0.96,4.7,5.33,1.82
A430005L14Rik,18.72,23.98,28.89,7.97,20.26,8.82,15.86,9.28,12.75,22.3,17.67,6.88,5.75,1.45,37.06,40.82,36.85,28.14,24.79,24.99,41.11,18.93,15.22,30.14
A530064D06Rik,8.75,10.56,8.35,54.19,42.65,40.75,41.1,51.85,75.43,37.07,34.47,44.71,37.82,35.85,118.62,107.01,91.87,142.35,105.73,94.89,114.53,120.87,121.91,144.61
A630001G21Rik,18.77,24.44,36.07,10.64,10.67,21.03,11.53,13.19,6.71,19.56,13.42,6.86,15.37,17.98,18.03,12.27,9.24,9.93,15.15,5.96,15.67,14.86,17.05,12.54
A630089N07Rik,3.13,4.37,5.13,0.14,0,3.93,0,0,0,0,0,0,0,0,1.21,1.2,1.25,0,0,0,0,0,2.25,0.44
AA467197,1.88,0.81,2.64,1.51,2.35,0,3.73,0,0,0,0,30.15,36.63,34.44,10.7,11.45,7.91,5.73,5.08,3.73,0.93,2.05,1.57,3.5
Aaas,13.63,26.79,22.65,9.24,7.9,22.32,8.14,16.2,7.82,7.98,21.97,8.02,1.4,3.71,9.32,16.71,1.77,14.68,20.6,20.68,19.93,10.31,16.14,17.47
Aacs,18.77,16.67,14.15,12.81,18.37,13.51,12.55,44.06,14.75,16.56,15.01,56.21,9.83,6.51,6.88,8.85,13.14,16.98,26.7,17.78,35.58,14.78,23.9,26.79
Aagab,23.05,18.82,19.14,18.45,19.38,27.72,22.81,15.74,30.73,32.62,20.33,12.96,7.95,11.15,17.05,7.75,20.51,20.36,20.72,18.98,38,22.87,24.3,20.96
Aak1,5.39,2.5,2.05,4.54,3.35,7.9,2.3,1.06,15.02,4.44,2.19,0.69,1.85,1.57,1.66,2.01,2.03,1.24,2.74,1.6,9.53,1.6,6.17,1.5
Aamdc,22.03,16.32,33.1,21.48,18.93,31.07,24.13,12.8,32.94,6.85,28.76,19.63,5.71,13.27,13.44,13.07,1.98,31.43,28.32,12.61,28.12,27.22,27.22,11.73
Aamp,103.5,99.07,112.16,110.83,147.06,141.11,129.21,81.01,146.39,126.79,119.24,150.37,152.14,148.2,195.11,181.25,174.76,169.62,181.98,153.06,182.64,159.57,172.08,161.85
Aar2,3.82,2.84,8.85,1.55,1.91,4.01,7.03,3.43,3.07,6.65,3.62,6.41,3.68,3.33,15.6,15.79,7.51,17.14,7.77,13.46,12.26,16.45,8.56,16.36
Aars,6.14,3.82,5.67,0,0,0.19,0,0.37,0.1,3.29,0.8,0.4,0,0.06,4.35,0.38,1.28,4.82,2.63,4.95,10.45,8.25,6.81,5.84
Aars2,2.27,2.3,3.81,1.04,0.15,2.23,2.09,0,0.69,0.23,0.18,1.5,0,0,0,1.22,0.29,4.3,3.91,3.55,1.84,0.9,1.51,0
Aarsd1,30.59,39.07,34.09,3.92,2.2,6.25,12.39,10.3,7.57,9.87,13.35,1.6,4,0,7.48,9.28,11.82,20.86,17.81,7.13,28.14,12.78,16.53,15.92
Aasdh,8.28,7.7,5.63,2.05,0,0.99,5.44,1.76,8.54,1.79,1.89,6.09,0.87,0.15,0.49,1.4,3.28,3.29,11.44,8.62,9.53,9.1,1.95,4.31
Aasdhppt,7.87,8.91,9.43,5.71,4.47,3.4,3.14,6.74,6.12,7.26,8.33,3.98,8.15,3.88,5.93,5.89,10.95,4.82,6.17,7.73,7.29,3.24,2.08,7.8
Aatf,12.92,14,9.55,9.6,12.3,22.84,23.2,16.72,14.19,37.54,18.38,3.42,4.91,3.88,16.39,14.24,19.21,8.11,13.03,28.73,16.81,22.83,17.63,11.12
AB124611,468.24,388.1,420.69,956.13,874.7,813.85,759.02,634.76,829.69,594.56,657.63,568.91,607.55,495.61,288.12,266.97,223.34,466.03,393.12,411.96,20.41,35.38,75.8,60.13
Abca1,0.3,0.26,1.21,0.78,2.24,2.74,1.58,1.26,2.97,3.32,2.03,1.12,1.36,1.26,27.5,38.65,25.86,2.88,1.67,3.97,1.2,1.7,1.98,1
Abca13,2.06,3.11,3.08,0.03,0.1,0,0.35,0.08,0.63,0.04,0.11,0.59,0,0,0.1,0.47,0,0.29,0.38,0.58,0.03,0.52,0.13,0
Abca2,9.28,5.86,3.89,6.19,2.99,3.07,3.48,2.11,5.88,2.4,8.41,0.42,6.64,2.65,2.42,4.15,6.89,0.39,1.73,4.29,6.8,3.15,2.78,2.3
Abca3,3.47,2.52,3.62,6.16,3.94,2.42,10.29,2.69,8.77,10.61,7.04,2.75,2.04,0.68,2.69,1.6,3.33,5,6.51,5.4,1.51,3.31,3.81,4.45
Abca7,10.52,11.07,10.16,12.47,17.48,13.55,14.12,13.11,20.05,23.13,21.69,12.39,11.85,7.13,16.36,15.15,22.41,14.77,13.56,22.39,10.35,8.54,13.26,11.82
Abcb10,18.08,21.79,18.52,5.24,5.02,6.12,6.57,6.74,10.94,9.44,12.1,1.55,0.43,2.71,2.55,3.24,8.89,7.79,3.69,8.21,3.9,2.28,5.91,10.98
Abcb1a,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,3.43,2.33,1.79,1.45
Abcb6,5.09,4.89,10.79,0.38,0,0.45,2.03,11.87,0.13,7.84,0.21,0.12,0.16,0,8.37,1.88,4.31,0.57,0.17,3.17,1.48,2.4,1.28,1.65
Abcb7,4.18,3.05,3.88,0.67,1.48,2.68,3.58,4.25,1.1,4.67,3.66,2.68,2.74,1.13,2.21,1.36,1.45,4.13,5.42,4.94,3.6,4.6,4.6,4.32
Abcb8,3.54,3.19,16.97,0.94,5.71,0.54,0,4.03,3.24,1.78,0.27,4.1,2.63,0.97,4.04,0.62,2.93,0,4.08,4.99,1.46,5.89,0.52,4.94
Abcb9,1.2,1.39,1.23,0.33,0.5,1.37,1.48,0.69,0.84,2.54,3.22,1.05,0.26,0.29,0.18,0.6,2.07,1.22,2.35,2.92,0,2.72,3.21,1.67
Abcc1,10.42,15.1,11.77,9.81,10.04,18.11,22.26,9.83,19.03,15.69,13.85,46.46,57.99,59.27,54.46,48.18,77.38,23.47,23.49,31.84,17.89,24.45,13.8,14.23
Abcc10,0.27,1.55,1.83,1.18,0.99,2.2,2.03,0,0.37,1.53,0.61,0,0.08,1.03,1.6,0.62,1.96,1.01,1.81,1.56,0,0.1,2.54,0.26
Abcc2,3.73,6.26,7.47,13.52,17.84,16.79,20.85,8.47,20.65,23.01,13.89,6.66,5.44,6.28,0.73,2.5,0.5,4.31,3.5,3.95,3.83,2.48,7.47,2.72
